When,What
Daily,Flip domes and feed Clones
Weekly,Sweep and mop Rooms
Weekly,Clean Drains and Tables
Bi Weekly,Trellis
Weekly,Sweep and Mop Hallways with Mopit
Day 16-21,Defol #1
Day 32-35,Defol # 2
Day 45-47,Defol # 3 Final
Day 1 Flower 13ml/gal,Oxiphos Spray rate 13ml/gal
Day 7 Vegg Spray,Suffoil x @ 75ml/gal Eppeshgield @ 2.7ml/gal
Day 10 Vegg,Vegg Bug Release
Day 14 flower,Flower Bug Release
Daily,Check Environmental perameters
Day 4-5 hanging,Dry Rm Slam hangers
Weekly,Scope Rm and post to slack
Weekly,Change sticky traps and monitor for flush
Day 14 Vegg,Nematode Flush Vegg
Schedule,Cut Clones
@ Transplant,Dip for transplant Rootshield/No Fly/Nemetodes
Day 14-20,Clean plants Vegg
61-62 Days,Harvest
61-62 Days,Harvest Clean up
Schedule,Transplant
24 hrs before clone cutting,Soak cubes for Clone cutting
Weekly,Calibrate PH Pens
Weekly,Inventory
Day 14 flower,Flower Room Nematode Flush
Weekly,Empty trash upstairs and down
As needed,Compost
Weekly,Clean Bathroom
Monthly,Wipe and Dust Break Rm
Weekly,Check light percentage Vegg
Schedule,Check perimeters when flipping to Flower
Weekly,Change Dates on boards outside Flower Rms
Daily,Check Troll Master temps/Humidity from night before
Schedule,Move Plants to Flower Rm
Schedule,Plug Dippers
Week 1 Flower,Pinch and bend Week 1 Flower over first trellis
Week 2-3,Pinch and Bend week 2-3 Flower over 2nd Trellis
Weekly,Clean Fert Rm Sweep/Mop Organize
Monthly,Organize Shop/Clean
Weekly,Clean Scissors
Bi Weekly,Clean pots
Bi Weekly,Clean trays
Schedule,Fill Pots
Monthly,Wash Bobcat
Schedule,Soak Pots for vegg Transplant
Daily,Checklist vegg whiteboard
Daily,Check for any lights out
